missionTime,thrust
4854,0.01
4954,0.02
5054,0.02
5154,0.03
5254,0.10
5354,-0.18
5454,-0.91
5554,-1.20
5654,-1.27
5754,-1.36
5854,-1.05
5954,-0.50
6054,-0.10
6154,0.02
6254,0.02
6354,0.02
6454,0.07
6554,0.03
6654,0.04
6754,0.20
6854,0.15
6954,0.10
7054,0.21
7154,-0.11
7254,0.03
7354,0.07
7454,0.11
7554,0.16
7654,0.17
7754,0.06
7854,0.05
7954,0.05
8054,0.04
8154,0.04
8254,0.05
8354,0.05
8454,0.08
8554,-0.04
8654,0.02
8754,-0.03
8854,0.04
8954,0.04
9054,0.05
9154,0.05
9254,0.04
9354,0.04
9454,0.03
9554,0.05
9654,0.04
9754,0.03
9854,0.03
9954,0.03
10054,0.04
10154,0.03
10254,0.04
10354,0.04
10454,0.04
10554,0.04
10654,0.05
10754,0.04
10854,0.04
10954,0.04
11054,0.05
11154,0.04
11254,0.05
11354,0.03
11454,0.05
11554,0.05
11654,0.05
11754,0.04
11854,0.04
11954,0.05
12054,0.04
12154,0.03
12254,0.03
12354,0.03
12454,0.04
12554,0.04
12654,0.03
12754,0.03
12854,0.04
12954,0.11
13054,0.11
13154,0.04
13254,0.05
13354,0.05
13454,0.06
13554,0.05
13654,0.08
13754,0.02
13854,0.03
13954,0.03
14054,0.03
14154,0.07
14254,0.10
14354,0.10
14454,0.11
14554,0.10
14654,0.14
14754,0.14
14854,0.14
14954,0.10
15054,0.07
15154,0.03
15254,0.04
15354,0.13
15454,0.11
15554,0.11
15654,0.11
15754,0.10
15854,0.09
15954,0.09
16054,0.09
16154,0.10
16254,0.09
16354,0.09
16454,0.09
16554,0.09
16654,0.10
16754,0.10
16854,0.09
16954,0.10
17054,0.08
17154,0.02
17254,0.02
17354,0.10
17454,0.10
17554,0.09
17654,0.10
17754,0.10
17854,0.09
17954,0.10
18054,0.10
18154,0.10
18254,0.10
18354,0.10
18454,0.10
18554,0.10
18654,0.10
18754,0.09
18854,0.11
18954,0.09
19054,0.10
19154,0.09
19254,0.10
19354,0.11
19454,0.14
19554,0.06
19654,0.09
19754,0.09
19854,0.07
19954,0.08
20054,0.11
20154,0.10
20254,0.08
20354,0.08
20454,0.08
20554,0.08
20654,0.08
20754,0.09
20854,0.10
20954,0.06
21054,0.05
21154,0.05
21254,0.03
21354,0.05
21454,0.04
21554,0.06
21654,0.03
21754,0.06
21854,0.06
21954,0.04
22054,0.06
22154,0.04
22254,0.04
22354,0.03
2836,0.04
2936,0.04
3036,0.04
3136,0.04
3236,0.04
3336,0.04
3436,0.05
3536,0.04
3636,0.04
3736,0.04
3836,0.05
3936,0.04
4036,0.04
4136,0.05
4236,0.03
4336,0.07
4436,0.06
4536,0.05
4636,0.04
4736,0.04
4836,0.04
4936,0.03
5036,0.03
5136,0.04
5236,0.03
5336,0.04
5436,0.05
5536,0.04
5636,0.02
5736,0.00
5836,0.02
5936,0.02
6036,0.02
6136,0.03
6236,0.04
6336,0.03
6436,0.04
6536,0.03
6636,0.03
6736,0.02
6836,0.01
6936,0.01
7036,0.02
7136,0.03
7236,0.02
7336,0.01
7436,0.03
7536,0.01
7636,0.02
7736,0.02
7836,0.02
7936,0.03
8036,0.02
8136,0.02
8236,0.02
8336,0.02
8436,0.03
8536,0.03
8636,0.03
8736,0.03
8836,0.02
8936,0.01
9036,0.01
9136,0.01
9236,0.02
9336,0.04
9436,0.03
9536,0.05
9636,0.04
9736,0.02
9836,0.02
9936,0.01
10036,0.02
10136,0.01
10236,0.02
10336,0.01
10436,0.01
10536,0.01
10636,0.02
10736,0.02
10836,0.01
10936,0.02
11036,0.02
11136,0.01
11236,-0.01
11336,0.01
11436,0.01
11536,0.00
11636,0.01
11736,0.01
11836,0.01
11936,-0.01
12036,0.01
12136,0.01
12236,-0.01
12336,0.01
12436,0.00
12536,0.00
12636,0.01
12736,-0.01
12836,0.00
12936,-0.00
13036,-0.00
13136,-0.00
13236,0.00
13336,-0.01
13436,-0.00
13536,-0.00
13636,-0.01
13736,-0.00
13836,-0.01
13936,-0.00
14036,-0.01
14136,-0.02
14236,-0.02
14336,-0.01
14436,-0.02
14536,-0.00
14636,-0.02
14736,-0.02
14836,-0.01
14936,-0.00
15036,-0.01
15136,-0.01
15236,-0.02
15336,-0.02
15436,-0.03
15536,-0.03
15636,-0.01
15736,0.01
15836,-0.01
15936,-0.02
16036,-0.02
16136,-0.01
16236,0.00
16336,0.13
16436,0.11
16536,-0.03
16636,-0.02
16736,-0.03
16836,-0.03
16936,-0.03
17036,-0.02
17136,-0.04
17236,-0.03
17336,-0.03
17436,-0.03
17536,-0.04
17636,-0.03
17736,-0.04
17836,-0.03
17936,-0.03
18036,-0.03
18136,-0.03
18236,-0.04
18336,-0.04
18436,-0.03
18536,-0.03
18636,0.01
18736,0.01
18836,0.03
18936,0.04
19036,0.03
19136,0.03
19236,0.04
19336,0.06
19436,0.07
19536,0.05
19636,0.06
19736,0.03
19836,0.03
19936,0.02
20036,0.03
20136,0.04
20236,0.03
20336,0.02
20436,0.03
20536,0.02
20636,0.00
20736,0.05
20836,0.04
20936,0.04
21036,0.04
21136,0.05
21236,0.05
21336,0.04
21436,0.05
21536,0.06
21636,0.05
21736,0.05
21836,0.06
21936,0.02
22036,0.02
22136,0.04
22236,0.01
22336,-0.01
22436,0.01
22536,0.02
22636,0.04
22736,0.02
22836,0.02
22936,0.03
23036,0.04
23136,0.04
23236,0.02
23336,0.00
23436,0.00
23536,-0.02
23636,-0.02
23736,-0.02
23836,-0.01
23936,-0.02
24036,-0.02
24136,-0.02
24236,-0.01
24336,-0.01
24436,-0.01
24536,-0.02
24636,-0.03
24736,-0.01
24836,-0.02
24936,-0.02
25036,-0.02
25136,-0.03
25236,-0.03
25336,-0.02
25436,-0.03
25536,-0.02
25636,-0.03
25736,-0.02
25836,-0.03
25936,-0.03
26036,-0.03
26136,-0.03
26236,-0.02
26336,-0.03
26436,-0.03
26536,-0.03
26636,-0.03
26736,-0.03
26836,-0.02
26936,-0.02
27036,-0.03
27136,-0.04
27236,-0.04
27336,-0.04
27436,-0.03
27536,-0.03
27636,-0.04
27736,-0.04
27836,-0.03
27936,-0.04
28036,-0.02
28136,-0.03
28236,-0.03
28336,-0.03
28436,-0.01
28536,-0.03
28636,-0.01
28736,-0.04
28836,-0.04
28936,-0.03
29036,-0.04
29136,-0.04
29236,-0.03
29336,-0.02
29436,-0.03
29536,-0.02
29636,-0.03
29736,-0.02
29836,-0.02
29936,-0.03
30036,-0.03
30136,-0.02
30236,-0.02
30336,-0.03
30436,-0.02
30536,-0.02
30636,-0.03
30736,-0.02
30836,-0.02
30936,-0.02
31036,-0.02
31136,-0.02
31236,-0.02
31336,-0.01
31436,-0.01
31536,-0.02
31636,-0.02
31736,-0.02
31836,-0.03
31936,-0.02
32036,-0.02
32136,0.00
32236,-0.01
32336,-0.01
32436,-0.02
32536,-0.03
32636,-0.01
32736,-0.03
32836,-0.02
32936,-0.01
33036,-0.01
33136,-0.03
33236,-0.02
33336,-0.03
33436,-0.02
33536,-0.03
33636,-0.02
33736,-0.04
33836,-0.03
33936,-0.04
34036,-0.03
34136,-0.03
34236,-0.04
34336,-0.04
34436,-0.03
34536,-0.04
34636,-0.03
34736,-0.04
34836,-0.02
34936,-0.03
35036,-0.05
35136,-0.04
35236,-0.03
35336,-0.04
35436,-0.04
35536,-0.05
35636,-0.05
35736,-0.05
35836,-0.05
35936,-0.05
36036,-0.04
36136,-0.06
36236,-0.05
36336,-0.04
4815,0.77
4915,0.73
5015,0.70
5115,0.75
5215,1.10
5315,0.91
5415,0.44
5515,0.92
5615,1.18
5715,0.76
5815,0.74
5915,0.77
6015,0.80
6115,0.80
6215,0.81
6315,0.76
6415,0.78
6515,0.74
6615,0.79
6715,0.74
6815,0.33
6915,0.38
7015,0.40
7115,0.41
7215,1.35
7315,1.37
7415,1.38
7515,1.38
7615,1.39
7715,1.40
7815,1.40
7915,1.36
8015,0.48
8115,0.45
8215,0.44
8315,0.44
8415,0.45
8515,1.41
8615,1.42
8715,1.42
8815,1.42
8915,1.43
9015,1.42
9115,0.45
9215,0.44
9315,0.46
9415,0.45
9515,0.45
9615,0.46
9715,0.46
9815,0.45
9915,0.44
10015,0.49
10115,0.50
10215,0.51
10315,0.46
10415,0.45
10515,0.44
10615,0.45
10715,0.45
10815,0.50
10915,0.45
11015,0.47
11115,0.57
11215,0.64
11315,0.47
11415,0.63
11515,0.77
11615,0.54
11715,0.63
11815,0.71
11915,0.72
12015,1.08
12115,1.19
12215,0.87
12315,0.67
12415,0.74
12515,0.50
12615,0.67
12715,0.67
12815,0.67
12915,0.67
13015,0.66
13115,0.66
13215,0.67
13315,0.66
13415,0.67
13515,0.66
13615,0.65
13715,0.66
13815,0.64
13915,0.66
14015,0.66
14115,0.65
14215,0.66
14315,0.65
14415,0.63
14515,0.64
14615,0.65
14715,0.66
14815,0.66
14915,0.64
15015,0.65
15115,0.65
15215,0.64
15315,0.65
15415,0.65
15515,0.66
15615,0.65
15715,0.66
15815,0.65
15915,0.66
16015,0.66
16115,0.66
16215,0.65
16315,0.66
16415,0.65
16515,0.00
16615,0.66
16715,0.66
16815,0.67
16915,0.66
17015,0.66
17115,0.66
17215,0.65
17315,0.66
17415,0.65
17515,0.66
17615,0.66
17715,0.66
17815,0.66
17915,0.66
18015,0.67
18115,0.66
18215,0.67
18315,0.66
18415,0.65
18515,0.66
18615,0.66
18715,0.67
18815,0.69
18915,0.67
19015,0.68
19115,0.67
19215,0.67
19315,0.66
19415,0.66
19515,0.67
19615,0.66
19715,0.67
19815,0.66
19915,0.65
20015,0.65
20115,0.65
20215,0.66
20315,0.67
20415,0.66
20515,0.66
20615,0.67
20715,0.66
20815,0.66
20915,0.66
21015,0.67
21115,0.66
21215,0.66
21315,0.67
21415,0.66
21515,0.66
21615,0.66
21715,0.66
21815,0.66
21915,0.66
22015,0.67
22115,0.67
22215,0.67
22315,0.67
22415,0.67
22515,0.66
22615,0.66
22715,0.67
22815,0.66
22915,0.67
23015,0.67
23115,0.67
23215,0.65
23315,0.66
23415,0.66
23515,0.54
23615,0.55
23715,0.56
23815,0.56
23915,0.56
24015,0.55
24115,0.56
24215,0.56
24315,0.56
24415,0.57
24515,0.57
24615,0.58
24715,0.61
24815,0.68
24915,1.02
25015,2.76
25115,7.20
25215,12.92
25315,27.22
25415,55.49
25515,103.62
25615,157.06
25715,179.55
25815,188.79
25915,190.09
26015,163.73
26115,132.75
26215,80.54
26315,58.06
26415,36.73
26515,27.42
26615,24.56
26715,13.04
26815,10.07
26915,7.93
27015,5.95
27115,3.93
27215,2.10
27315,0.44
27415,-0.09
27515,-0.14
27615,-0.19
27715,-0.20
27815,-0.20
27915,-0.20
28015,-0.19
28115,-0.20
28215,-0.20
28315,-0.18
28415,-0.18
28515,-0.18
28615,-0.20
28715,-0.18
28815,-0.19
28915,-0.19
29015,-0.19
29115,-0.18
29215,-0.18
29315,-0.18
29415,-0.17
29515,-0.18
29615,-0.16
29715,-0.16
29815,-0.16
29915,-0.18
30015,-0.21
30115,-0.19
30215,-0.21
30315,-0.21
30415,-0.21
30515,-0.21
30615,-0.19
30715,-0.19
30815,-0.18
30915,-0.18
31015,-0.18
31115,-0.19
31215,-0.18
31315,-0.18
31415,-0.17
31515,-0.18
31615,-0.18
31715,-0.17
31815,-0.17
31915,-0.16
32015,-0.17
32115,-0.15
32215,-0.16
32315,-0.15
32415,-0.14
32515,-0.17
32615,-0.16
32715,-0.18
32815,-0.15
32915,-0.15
33015,-0.15
33115,-0.15
33215,-0.14
33315,-0.14
33415,-0.16
33515,-0.15
33615,-0.17
33715,-0.14
33815,-0.15
33915,-0.14
34015,-0.13
34115,-0.15
34215,-0.14
34315,-0.15
34415,-0.15
34515,-0.16
34615,-0.14
34715,-0.16
34815,-0.14
34915,-0.14
35015,-0.15
35115,-0.15
35215,-0.15
35315,-0.15
35415,-0.16
35515,-0.18
35615,-0.18
35715,-0.17
35815,-0.17
35915,-0.19
36015,-0.17
36115,-0.17
36215,-0.17
36315,-0.16
36415,-0.16
36515,-0.16
36615,-0.17
36715,-0.16
36815,-0.16
36915,-0.15
37015,-0.16
37115,-0.16
37215,-0.15
37315,-0.15
37415,-0.15
37515,-0.15
37615,-0.14
37715,-0.15
37815,-0.14
37915,-0.16
38015,-0.15
38115,-0.14
38215,-0.13
38315,-0.14
38415,-0.13
38515,-0.12
38615,-0.13
38715,-0.12
38815,-0.11
38915,-0.11
39015,-0.15
39115,-0.32
39215,-0.29
39315,-0.30
39415,-0.31
39515,-0.28
39615,-0.28
39715,-0.29
39815,-0.28
39915,-0.27
40015,-0.28
40115,-0.28
40215,-0.28
40315,-0.28
40415,-0.29
40515,-0.28
40615,-0.28
40715,-0.27
40815,-0.28
40915,-0.27
41015,-0.26
41115,-0.25
41215,-0.26
41315,-0.25
41415,-0.26
41515,-0.25
41615,-0.26
41715,-0.26
41815,-0.25
41915,-0.25
42015,-0.24
42115,-0.25
42215,-0.24
42315,-0.24
42415,-0.25
42515,-0.24
42615,-0.24
42715,-0.25
42815,-0.24
42915,-0.24
43015,-0.26
43115,-0.25
43215,-0.26
43315,-0.24
43415,-0.25
43515,-0.25
43615,-0.24
43715,-0.24
43815,-0.24
43915,-0.24
44015,-0.22
44115,-0.23
44215,-0.23
44315,-0.22
44415,-0.22
44515,-0.22
44615,-0.23
44715,-0.22
44815,-0.21
44915,-0.21
45015,-0.21
45115,-0.21
45215,-0.20
45315,-0.22
45415,-0.22
45515,-0.22
45615,-0.22
45715,-0.21
45815,-0.21
45915,-0.20
46015,-0.21
46115,-0.20
46215,-0.20
46315,-0.20
46415,-0.20
46515,-0.20
46615,-0.19
46715,-0.20
46815,-0.19
46915,-0.19
47015,-0.19
47115,-0.20
47215,-0.20
47315,-0.18
47415,-0.17
47515,-0.18
47615,-0.19
47715,-0.19
47815,-0.18
47915,-0.18
48015,-0.17
48115,-0.17
48215,-0.19
48315,-0.18
48415,-0.17
48515,-0.17
48615,-0.17
48715,-0.18
48815,-0.17
48915,-0.17
49015,-0.14
49115,-0.15
49215,-0.16
49315,-0.14
49415,-0.14
49515,-0.15
49615,-0.16
49715,-0.12
49815,-0.13
49915,-0.15
50015,-0.15
50115,-0.15
50215,-0.16
50315,-0.15
50415,-0.16
50515,-0.17
50615,-0.17
50715,-0.17
50815,-0.16
50915,-0.14
51015,-0.15
51115,-0.15
51215,-0.14
51315,-0.13
51415,-0.14
51515,-0.15
51615,-0.13
51715,-0.13
51815,-0.12
51915,-0.12
52015,-0.12
52115,-0.12
52215,-0.11
52315,0.00
52415,-0.12
52515,-0.10
52615,-0.10
52715,-0.10
52815,-0.12
52915,-0.12
53015,-0.10
53115,-0.11
53215,-0.10
53315,-0.10
53415,-0.11
53515,-0.11
53615,-0.10
53715,-0.11
53815,-0.12
53915,-0.11
54015,-0.10
54115,-0.14
54215,-0.12
54315,-0.13
54415,-0.13
54515,-0.13
54615,-0.12
54715,-0.11
54815,-0.11
54915,-0.11
55015,-0.12
55115,-0.10
55215,-0.08
55315,-0.10
55415,-0.08
55515,-0.10
55615,-0.10
55715,-0.09
55815,-0.09
56315,-0.09
